bid,tid,nid,fid,face_path,congruency,corrResp
1,1,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,2,Cruise,Damon,../images/Damon.jpg,incongruent,n
1,3,Cruise,Damon,../images/Damon.jpg,incongruent,n
1,4,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,5,Cruise,Cruise,../images/Cruise.jpg,congruent,b
1,6,Damon,Cruise,../images/Cruise.jpg,incongruent,b
1,7,Cruise,Damon,../images/Damon.jpg,incongruent,n
1,8,Damon,Cruise,../images/Cruise.jpg,incongruent,b
1,9,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,10,Damon,Damon,../images/Damon.jpg,congruent,n
1,11,Cruise,Cruise,../images/Cruise.jpg,congruent,b
1,12,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,13,Clooney,Damon,../images/Damon.jpg,incongruent,n
1,14,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,15,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,16,Clooney,Cruise,../images/Cruise.jpg,incongruent,b
1,17,Clooney,Damon,../images/Damon.jpg,incongruent,n
1,18,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,19,Damon,Damon,../images/Damon.jpg,congruent,n
1,20,Clooney,Cruise,../images/Cruise.jpg,incongruent,b
1,21,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
1,22,Damon,Damon,../images/Damon.jpg,congruent,n
1,23,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,24,Damon,Cruise,../images/Cruise.jpg,incongruent,b
1,25,Cruise,Cruise,../images/Cruise.jpg,congruent,b
1,26,Damon,Clooney,../images/Clooney.jpg,incongruent,v
1,27,Clooney,Damon,../images/Damon.jpg,incongruent,n
1,28,Clooney,Clooney,../images/Clooney.jpg,congruent,v
1,29,Clooney,Cruise,../images/Cruise.jpg,incongruent,b
1,30,Cruise,Clooney,../images/Clooney.jpg,incongruent,v
