,bid,congruency,corrResp,face_path,fid,nid,sbjCorr,sbjRT,sbjResp,tid
0,1,incongruent,b,./images/Clooney.jpg,Clooney,Cruise,incorrect,-1,,1
1,1,incongruent,n,./images/Damon.jpg,Damon,Clooney,incorrect,-1,,2
2,1,congruent,v,./images/Cruise.jpg,Cruise,Cruise,incorrect,-1,,3
3,1,incongruent,v,./images/Cruise.jpg,Cruise,Damon,incorrect,-1,,4
4,1,congruent,n,./images/Damon.jpg,Damon,Damon,incorrect,-1,,5
5,1,incongruent,v,./images/Cruise.jpg,Cruise,Clooney,incorrect,-1,,6
6,1,incongruent,b,./images/Clooney.jpg,Clooney,Damon,incorrect,-1,,7
7,1,incongruent,n,./images/Damon.jpg,Damon,Cruise,incorrect,-1,,8
8,1,congruent,b,./images/Clooney.jpg,Clooney,Clooney,incorrect,-1,,9
0,2,congruent,v,./images/Cruise.jpg,Cruise,Cruise,incorrect,-1,,1
1,2,incongruent,b,./images/Clooney.jpg,Clooney,Damon,incorrect,-1,,2
2,2,incongruent,v,./images/Cruise.jpg,Cruise,Damon,incorrect,-1,,3
3,2,incongruent,v,./images/Cruise.jpg,Cruise,Clooney,incorrect,-1,,4
4,2,incongruent,b,./images/Clooney.jpg,Clooney,Cruise,incorrect,-1,,5
5,2,incongruent,n,./images/Damon.jpg,Damon,Clooney,incorrect,-1,,6
6,2,incongruent,n,./images/Damon.jpg,Damon,Cruise,incorrect,-1,,7
7,2,congruent,n,./images/Damon.jpg,Damon,Damon,incorrect,-1,,8
8,2,congruent,b,./images/Clooney.jpg,Clooney,Clooney,incorrect,-1,,9
