,bid,tid,nid,fid,face_path,congruency,PC,frequency,corrResp,sbjResp,sbjCorr,sbjRT
0,1,1,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
1,1,2,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
2,1,3,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
3,1,4,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
4,1,5,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
5,1,6,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
6,1,7,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
7,1,8,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
8,1,9,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
9,1,10,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
10,1,11,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
11,1,12,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
12,1,13,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
13,1,14,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
14,1,15,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
15,1,16,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
16,1,17,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
17,1,18,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
18,1,19,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
19,1,20,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
20,1,21,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
21,1,22,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
22,1,23,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
23,1,24,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
24,1,25,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
25,1,26,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
26,1,27,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
27,1,28,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
28,1,29,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
29,1,30,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
30,1,31,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
31,1,32,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
32,1,33,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
33,1,34,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
34,1,35,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
35,1,36,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
36,1,37,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
37,1,38,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
38,1,39,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
39,1,40,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
40,1,41,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
41,1,42,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
42,1,43,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
43,1,44,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
44,1,45,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
45,1,46,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
46,1,47,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
47,1,48,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
48,1,49,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
49,1,50,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
50,1,51,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
51,1,52,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
52,1,53,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
53,1,54,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
54,1,55,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
55,1,56,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
56,1,57,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
57,1,58,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
58,1,59,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
59,1,60,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
60,1,61,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
61,1,62,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
62,1,63,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
